Aaliyah,3550,F
Aarav,415,M
Aaron,5039,M
Aarya,255,F
Abby,591,F
Abdiel,549,M
Abdullah,284,M
Abel,2109,M
Abigail,7817,F
Abner,219,M
Abraham,1875,M
Abram,504,M
Ace,1900,M
Ada,1548,F
Adalee,360,F
Adaline,1106,F
Adalyn,1918,F
Adalynn,2327,F
Adam,3751,M
Adan,628,M
Addilyn,647,F
Addilynn,280,F
Addison,4467,F
Addisyn,294,F
Addyson,338,F
Adelaide,1128,F
Adele,340,F
Adelina,554,F
Adeline,2694,F
Adelyn,1255,F
Adelynn,857,F
Aden,391,M
Adler,240,M
Adley,554,F
Adonis,1663,M
Adrian,5249,M
Adriana,1056,F
Adrianna,473,F
Adriel,2592,M
Ahmad,425,M
Ahmed,423,M
Ahmir,234,M
Aidan,1313,M
Aiden,8534,M
Aila,286,F
Ailani,550,F
Aileen,401,F
Ainhoa,301,F
Ainsley,863,F
Aisha,559,F
Aislinn,262,F
Aitana,838,F
Alaia,2254,F
Alaina,1475,F
Alaiya,347,F
Alan,1956,M
Alana,1387,F
Alani,1303,F
Alanna,520,F
Alaric,278,M
Alaya,905,F
Alayah,1117,F
Alayna,1205,F
Albert,539,M
Alberto,374,M
Alden,383,M
Aldo,293,M
Aleah,497,F
Alec,469,M
Aleena,482,F
Alejandra,546,F
Alejandro,1773,M
Alena,413,F
Alessandra,837,F
Alessandro,427,M
Alessia,601,F
Alex,2095,M
Alexa,1272,F
Alexander,10151,M
Alexandra,1954,F
Alexandria,975,F
Alexia,369,F
Alexis,1019,F
Alexis,610,M
Alfred,246,M
Alfredo,322,M
Ali,1009,M
Alia,506,F
Aliana,393,F
Alianna,331,F
Alice,3268,F
Alicia,744,F
Alijah,663,M
Alina,1683,F
Alison,696,F
Alisson,281,F
Alistair,223,M
Alivia,1171,F
Aliya,307,F
Aliyah,1511,F
Aliza,426,F
Allan,277,M
Allen,633,M
Allie,706,F
Allison,3132,F
Allyson,449,F
Alma,515,F
Alondra,580,F
Alonso,294,M
Alonzo,625,M
Alora,479,F
Alvaro,266,M
Alvin,369,M
Alyssa,1460,F
Amaia,520,F
Amalia,510,F
Amanda,681,F
Amani,432,F
Amara,1902,F
Amari,921,F
Amari,1719,M
Amaris,295,F
Amaya,1916,F
Amayah,274,F
Amber,584,F
Ambrose,278,M
Ameer,273,M
Amelia,12704,F
Amelie,332,F
Amias,358,M
Amina,930,F
Amir,3154,M
Amira,1116,F
Amirah,546,F
Amiyah,989,F
Amora,846,F
Amos,356,M
Amoura,325,F
Amy,1326,F
Ana,1221,F
Anahi,460,F
Anais,284,F
Anakin,354,M
Analia,419,F
Anastasia,1750,F
Anaya,800,F
Ander,424,M
Anders,273,M
Anderson,1070,M
Andi,332,F
Andre,1178,M
Andrea,1804,F
Andres,1688,M
Andrew,5991,M
Andy,748,M
Angel,690,F
Angel,4482,M
Angela,1182,F
Angelica,506,F
Angelina,1089,F
Angelo,1044,M
Angie,441,F
Anika,358,F
Aniya,306,F
Aniyah,1015,F
Anna,3479,F
Annabella,315,F
Annabelle,1301,F
Annalise,690,F
Anne,461,F
Annie,1092,F
Annika,324,F
Ansley,265,F
Anthony,6966,M
Antonella,524,F
Antonio,2114,M
Anya,434,F
Apollo,659,M
April,577,F
Arabella,1417,F
Araceli,254,F
Archer,2329,M
Archie,630,M
Ares,457,M
Ari,622,F
Ari,782,M
Aria,6093,F
Ariah,771,F
Arian,262,M
Ariana,3136,F
Arianna,2193,F
Ariel,1454,F
Ariel,490,M
Ariella,1792,F
Arielle,883,F
Aries,251,M
Ariya,501,F
Ariyah,804,F
Arjun,498,M
Arlo,1685,M
Armando,573,M
Armani,615,F
Armani,853,M
Aron,324,M
Artemis,263,F
Arthur,2319,M
Arturo,469,M
Arya,2356,F
Aryan,270,M
Asa,559,M
Asher,7606,M
Ashley,1784,F
Ashlyn,479,F
Ashlynn,427,F
Ashton,2690,M
Aspen,1294,F
Aspyn,287,F
Astrid,675,F
Athena,2482,F
Atlas,2028,M
Atreus,325,M
Atticus,1104,M
Aubree,1770,F
Aubrey,3886,F
Aubrie,360,F
Aubriella,319,F
Aubrielle,340,F
Audrey,3735,F
August,312,F
August,2403,M
Augustine,349,M
Augustus,574,M
Aurelia,565,F
Aurora,5184,F
Austin,3979,M
Autumn,3106,F
Ava,13084,F
Avah,435,F
Avalynn,355,F
Avayah,274,F
Averi,349,F
Averie,715,F
Avery,6698,F
Avery,1773,M
Avi,243,M
Aviana,584,F
Avianna,797,F
Axel,4628,M
Axl,313,M
Axton,444,M
